coin_value_eur;timestamp
5447.1;1533780332186
5446.7;1533780436484
5442.2;1533780540725
5437.3;1533780644960
5435.6;1533780749840
5437.1;1533780855760
5437.1;1533780959647
5438.6;1533781070241
5438.5;1533781174031
5438.5;1533781277865
5444.4;1533781383552
5444.8;1533781487406
5445.2;1533781592328
5440;1533781697291
5445.2;1533781800483
5445.2;1533781905889
5441.2;1533782010142
5448.9;1533782117526
5448.9;1533782222327
5445.5;1533782325683
5446.5;1533782430330
5446.5;1533782537977
5448.6;1533782642975
5447.5;1533782748360
5447.5;1533782852487
5453.5;1533782955883
5451.2;1533783067487
5451;1533783174019
5450;1533783277618
5446.7;1533783382785
5441.8;1533783487883
5438;1533783595084
5437;1533783699288
5435.7;1533783803931
5435.6;1533783908568
5440.1;1533784014100
5440.1;1533784121939
5442;1533784225168
5441.2;1533784328861
5440.5;1533784432998
5440;1533784536682
5430.1;1533784640899
5417.2;1533784747484
5419.2;1533784852160
5418.4;1533784955494
5420;1533785059192
5421.2;1533785162883
5417.9;1533785267695
5418.2;1533785371083
5421.1;1533785476714
5419.7;1533785580508
5418.3;1533785684284
5413;1533785789007
5411.2;1533785893978
5411.1;1533786002106
5413;1533786106888
5415;1533786210514
5417;1533786317807
5418.2;1533786421984
5418.2;1533786529754
5418.2;1533786635631
5418.2;1533786742414
5418.2;1533786845488
5439.1;1533786949884
5439.9;1533787054859
5440.8;1533787157683
5429.4;1533787262509
5429.4;1533787366144
5430.4;1533787471509
5436.8;1533787578330
5430.7;1533787681538
5433.3;1533787787091
5430.5;1533787892509
5428.6;1533787997039
5426.2;1533788104966
5426.1;1533788208856
5426.1;1533788314892
5434.6;1533788419055
5437.4;1533788525487
5436.6;1533788630485
5436.5;1533788734284
5437;1533788837717
5437.3;1533788941351
5437.3;1533789046238
5436.5;1533789149618
5432.8;1533789255485
5432.7;1533789360494
5434.2;1533789466165
5434.2;1533789571720
5438.6;1533789675645
5439.8;1533789780225
5440;1533789884877
5440;1533789989363
5440;1533790094643
5440;1533790198282
5442.8;1533790302685
5445.1;1533790407948
5452.9;1533790512160
5460.2;1533790617220
5471.5;1533790720862
5471.3;1533790824445
5467;1533790928660
5498.3;1533791034944
5490.3;1533791138760
5489;1533791246016
5489.3;1533791350328
5485.4;1533791454448
5479;1533791558171
5477.8;1533791663311
5472.1;1533791767330
5471.6;1533791872085
5478;1533791976605
5481.9;1533792080160
5476.5;1533792183485
5469;1533792287300
5472.9;1533792391486
5470.2;1533792496847
5462.5;1533792601689
5456.3;1533792706164
5456.3;1533792810823
5459.7;1533792918866
5458.7;1533793022089
5458.8;1533793126024
5467;1533793230217
5474.6;1533793334996
5474.3;1533793443088
5465.7;1533793546447
5460;1533793651153
5466.7;1533793755977
5464;1533793861646
5465;1533793968287
5468.8;1533794072976
5473.8;1533794177945
5469.9;1533794284945
5473.7;1533794389757
5474.9;1533794494332
5482.8;1533794599896
5481.8;1533794704301
5483.2;1533794808892
5486.8;1533794914487
5486.3;1533795017948
5499.9;1533795123489
5488.6;1533795231533
5482.3;1533795335226
5480.2;1533795440321
5473.1;1533795545190
5468.4;1533795648392
5471.2;1533795755947
5472.1;1533795858849
5470;1533795963394
5471.2;1533796066975
5469.9;1533796171710
5471.2;1533796275078
5477.6;1533796378895
5484.6;1533796485638
5480.3;1533796591648
5480.3;1533796696245
5480.3;1533796801926
5480.3;1533796907230
5480.3;1533797010531
5480.3;1533797115545
5469.6;1533797219791
5469.6;1533797323607
5469;1533797429087
5469.4;1533797534446
5476;1533797638364
5476;1533797742504
5477.1;1533797846191
5481.4;1533797949603
5483.6;1533798055383
5485.9;1533798159448
5486.2;1533798263710
5483.2;1533798367819
5484.5;1533798472987
5486.8;1533798579018
5492.4;1533798683084
5493.2;1533798787975
5495;1533798894492
5493.9;1533798998645
5493.6;1533799104090
5483.2;1533799207978
5485.7;1533799313093
5479.6;1533799416856
5480;1533799523409
5470;1533799627697
5470.8;1533799733273
5455.7;1533799836509
5453;1533799943107
5445.5;1533800048275
5459.8;1533800152282
